"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"@kelly_clarkson #TheVoice your Team is strong! Go Kelly!",FALSE,0,"kelly_clarkson",2018-11-28 11:16:23,FALSE,NA,"1067738973693460480","23690344","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AmyNutzell",0,FALSE,FALSE,NA,NA
"RT @mjsbigblog: #TheVoice's @BrynnCartelli sang ""Hallelujah"" for the Faneuil Hall Holiday Spectacular (Boston tree lighting!) https://t.co/…",FALSE,0,NA,2018-11-28 11:15:13,FALSE,NA,"1067738679387525120",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cartelli_i",5,TRUE,FALSE,NA,NA
"Pre-save my new single ""Nothing Else Matters"" on Spotify: https://t.co/G27pde5Gy0 (powered by @distrokid)

Retweet… https://t.co/Vg5uFGef4G",FALSE,0,NA,2018-11-28 11:14:36,TRUE,NA,"1067738523648708608",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TopCRecords1",1,FALSE,FALSE,NA,NA
"Jennifer has the strongest team! The only thing is that I can never hear this song without thinking about Napoleon… https://t.co/TEHleS1LYl",FALSE,0,NA,2018-11-28 11:14:26,TRUE,NA,"1067738482469163009",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","joeylucio",0,FALSE,FALSE,NA,NA
"@kelly_clarkson #TheVoice",FALSE,0,"kelly_clarkson",2018-11-28 11:08:45,FALSE,NA,"1067737052840509441","23690344","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Tlynn357",0,FALSE,FALSE,NA,NA
"RT @kirkJay7: Top 10!!!!!! America thank you!!!!❤️❤️❤️❤️❤️❤️❤️#thevoice https://t.co/4bz5mSELrR",FALSE,0,NA,2018-11-28 11:06:01,FALSE,NA,"1067736363259346944",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MisterLashbrook",122,TRUE,FALSE,NA,NA
"RT @deandreknico: Thank you to everyone that tweeted to Voice Save me.. I can’t thank y’all enough. Thank You Jesus. Thank You America. LET…",FALSE,0,NA,2018-11-28 11:03:29,FALSE,NA,"1067735727889440768",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Grandkathy",336,TRUE,FALSE,NA,NA
"@blakeshelton #TheVoice. Does it look to you like a Kelly/Blake showdown this time?",FALSE,0,"blakeshelton",2018-11-28 11:03:09,FALSE,NA,"1067735644187676673","14920785","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DannyStyob4dc",0,FALSE,FALSE,NA,NA
"@adamlevine #TheVoice.  You and DeAndre both deserve better. America""s got  some kind of malfunction.",FALSE,1,"adamlevine",2018-11-28 11:02:12,FALSE,NA,"1067735405045329921","58528137","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DannyStyob4dc",0,FALSE,FALSE,NA,NA
"RT @chanel_1984: How is it that two women and a 13 year old sound like a whole choir? #TheVoice",FALSE,0,NA,2018-11-28 11:01:28,FALSE,NA,"1067735221355905026",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KingShizzle1",1,TRUE,FALSE,NA,NA
"@IAMJHUD #TheVoice.  Survival. In my opinion, it's all about SONG CHOICE",FALSE,0,"IAMJHUD",2018-11-28 11:00:39,FALSE,NA,"1067735012630396930","33990291","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DannyStyob4dc",0,FALSE,FALSE,NA,NA
"Are you looking OR searching for #install #setup your #wordpress premium #theme like the demo? #TuesdayThoughts… https://t.co/eOCf9H4I7u",FALSE,0,NA,2018-11-28 11:00:13,TRUE,NA,"1067734906346897408",NA,"<a href=""https://eclincher.com"" rel=""nofollow"">eClincher</a>","hashemdiu1",0,FALSE,FALSE,NA,NA
"@kelly_clarkson #TheVoice.  You and the Cowboy could be headed for a showdown",FALSE,0,"kelly_clarkson",2018-11-28 10:59:38,FALSE,NA,"1067734759680299008","23690344","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DannyStyob4dc",0,FALSE,FALSE,NA,NA
"RT @deandreknico: Thank you to everyone that tweeted to Voice Save me.. I can’t thank y’all enough. Thank You Jesus. Thank You America. LET…",FALSE,0,NA,2018-11-28 10:59:29,FALSE,NA,"1067734721927499777",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","hall_lucile",336,TRUE,FALSE,NA,NA
"@kelly_clarkson #TheVoice.  Sorry about Lynnea.",FALSE,0,"kelly_clarkson",2018-11-28 10:58:43,FALSE,NA,"1067734526577635328","23690344","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DannyStyob4dc",0,FALSE,FALSE,NA,NA
"#DaneliyaTuleshova #thevoice #juniorEurovisioncontest https://t.co/XFKWEZUgTU",FALSE,0,NA,2018-11-28 10:54:08,FALSE,NA,"1067733374951923712",NA,"<a href=""http://www.artstation.com"" rel=""nofollow"">ArtStation</a>","Vivek98Vivek",0,FALSE,FALSE,NA,NA
"RT @kirkJay7: Top 10!!!!!! America thank you!!!!❤️❤️❤️❤️❤️❤️❤️#thevoice https://t.co/4bz5mSELrR",FALSE,0,NA,2018-11-28 10:53:46,FALSE,NA,"1067733279657340928",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","shainaaaxo",122,TRUE,FALSE,NA,NA
